k,f_value,grad_norm,step_size,x1,x2,rho,update
0,409.0,1655.0637449959443,,-2.0,2.0,,
1,221.76667342428118,739.4405763816337,0.001953125,1.13671875,2.78125,0.00028903575806284,updated
2,10.624002150865266,214.17099539075852,0.0009765625,1.5839848381078947,2.188337359726535,0.0016427917417466285,updated
3,1.4286217532704826,67.29598110182636,1.0,1.4647910535442317,2.2557305416443745,0.026495399631300737,updated
4,0.2499648669259422,4.769898995307558,1.0,1.491715136034681,2.234258985947252,0.4932633737431122,updated
5,0.24364437704842903,0.380262095563864,1.0,1.4934709761241713,2.2315991157563113,80.08813654517205,updated
6,0.24327182537957107,0.39726850473863123,1.0,1.493104002695204,2.2304562301136057,1541372.235459313,updated
7,0.17629282555321338,7.541302236389549,0.25,1.404204551433713,1.960427541402918,15.852558321955993,updated
8,0.16246899737331355,13.59032527120379,1.0,1.3325711092995376,1.7529717729687246,14.017574117135522,updated
9,0.1221221942441298,6.705104997509192,1.0,1.3327575800293199,1.76556822396107,34.15345219598842,updated
10,0.07611533980057941,2.4289322587048225,1.0,1.2736713194853468,1.6187467127097765,36.775596199870684,updated
11,0.057248157354837945,8.902723739122903,1.0,1.1695357850306696,1.3509302991455638,9.828248503927817,updated
12,0.035286154352343266,1.4191714467762109,1.0,1.1866990540858755,1.4061819231930062,21.940063384649207,updated
13,0.021394131060205095,1.1836471093006615,1.0,1.1451248660660585,1.3094863923328746,207.62536247708235,updated
14,0.02136892979699699,6.516329660761802,1.0,1.046171753347314,1.0806055505568428,12.604643394776561,updated
15,0.008320209804655955,0.08442125059215952,1.0,1.0911175168424452,1.1909594299812716,19.871044229543234,updated
16,0.004661371546447175,0.40910429509337404,1.0,1.068012316420071,1.1400528437028234,772.6215494941282,updated
17,0.0037538135475027323,2.75057908913455,1.0,1.006199440298315,1.0063419215548244,53.187073647342785,updated
18,0.0011108016362007017,0.3057481457110977,1.0,1.0328978971027474,1.0663439310022025,116.87367005356431,updated
19,0.0005076102114724681,0.3059063019147479,1.0,1.0217572455391035,1.043402783535618,3616.2490434331626,updated
20,5.965474712515513e-05,0.3270719380324014,1.0,1.0028377580615349,1.0049652245339684,1230.3794931010082,updated
21,4.871496526085387e-06,0.07057776930493728,1.0,1.0016083349502987,1.0030681025743582,14787.037803653267,updated
22,1.2967765632888101e-08,0.002493782321889693,1.0,1.00010148295459,1.000197809995082,112680.05729447868,updated
23,7.85516216287199e-12,9.809910028755774e-05,1.0,1.000001833330997,1.0000034546733831,40355716.09285014,updated
