k,f_value,grad_norm,step_size,x1,x2,regularization
0,164.0,31.240998703626616,,-1.0,0.0,
1,148.6362943939862,41.04554203928563,1.0,-1.3276003276003276,0.26699426699426704,141.4213562373095
2,125.04050014462203,49.59713184840516,1.0,-1.6964360118567323,0.6292597402923668,141.4213562373095
3,94.03263102757413,55.660532722039115,1.0,-2.0352116281454093,1.1077109695527492,141.4213562373095
4,58.953688320952836,57.01814326418535,1.0,-2.294871676159087,1.6678003616695336,141.4213562373095
5,6.107961877287984,24.821949435164548,0.25,-2.352247221562925,3.2230568604114884,14.142135623730951
6,0.9069529136888008,11.457183314211644,1.0,-2.9669538698638673,3.14769990231022,1.414213558802549e-06
7,0.004825186355106893,0.794439092120481,1.0,-2.817268259152863,3.1320614389319035,1.414213558802549e-06
8,1.8996059364749384e-07,0.004963792460045232,1.0,-2.805194484649136,3.1313171936920514,1.414213558802549e-06
9,3.0296040646252487e-16,1.9822702931562758e-07,1.0,-2.805118090003759,3.131312518437673,1.414213558802549e-06
