k,f_value,grad_norm,step_size,x1,x2,regularization
0,18.0,8.48528137423857,,-3.0,-3.0,
1,4.4999955008590736e-12,4.242638566203383e-06,1.0,-1.4999992501429915e-06,-1.4999992501429915e-06,1.4142135625707708e-06
