k,f_value,grad_norm,step_size,x1,x2,beta,restart
0,409.0,1655.0637449959443,,-2.0,2.0,,True
1,221.76667342428118,739.4405763816337,0.001953125,1.13671875,2.78125,0.19960761540794686,False
2,0.5360515947860209,24.868267009762146,0.00048828125,1.6237211243361278,2.674813940177486,0.0,True
3,0.40449795490510443,3.318843331801322,0.00048828125,1.6352720598400683,2.6710694430522803,0.01781076034642725,False
4,0.4042556732183026,3.23903773465991,0.0009765625,1.632497506199831,2.6715308370113293,0.0,True
5,0.4020130220447671,0.5831844776778409,0.00048828125,1.6339468327278905,2.6708977579817725,0.032417528179441185,False
6,0.4019642151578031,1.186399116041856,0.001953125,1.6330823787852715,2.6703799220994213,0.0,True
7,0.40163042481288674,0.40309237869672615,0.00048828125,1.6335555775158586,2.6700457554782826,0.11543766807186809,False
8,0.39549817470753196,7.692501736334128,0.125,1.6150921426565523,2.6216221829845923,0.0,True
9,0.3827112928304229,0.9813584570813333,0.00048828125,1.6186236906178717,2.6203429296922427,0.01627496761369714,False
10,0.38255626280475963,0.9261757385108857,0.0009765625,1.617783478516869,2.620223110810355,0.0,True
11,0.38251166101680467,1.1185140266943097,0.0009765625,1.6184725379360838,2.6196372265431256,1.4584651926404302,False
12,0.38240093819711196,1.9180627427617905,0.001953125,1.618299059612545,2.617856418511686,0.0,True
13,0.3815751773327809,0.4299399022113455,0.00048828125,1.6173679800845122,2.617957534510823,0.050244657215271805,False
14,0.3814867582636758,2.1873972658705543,0.0078125,1.617477656987668,2.614791398898761,0.0,True
15,0.3804226365849159,0.44669312218165663,0.00048828125,1.6164189233564872,2.6149322750662956,0.04170260661677871,False
16,0.3802086700285746,1.301710283841793,0.00390625,1.6166097256700327,2.6133213529799115,0.0,True
17,0.3798080046149985,0.39330806159590137,0.00048828125,1.6159742086928377,2.6133316705727854,0.0912929045274891,False
18,0.3758342442897704,4.804489983190198,0.0625,1.6106945485051678,2.5889643940652154,0.0,True
19,0.3707916801285398,0.6421338662722869,0.00048828125,1.6084080280356332,2.5894890556393415,0.017863089165888073,False
20,0.3706457800623368,0.5823282732334296,0.0009765625,1.6087167144177887,2.5890170437395943,0.0,True
21,0.37054052751754957,0.6631338325007567,0.0009765625,1.6081861168556453,2.588812438955917,1.2967809397626098,False
22,0.3090852994859967,24.879855884415925,1.0,1.3274863883397225,1.8071464915553064,0.0,True
23,0.18269963168449987,14.777005119153719,0.0009765625,1.350143312722997,1.798371807897481,0.352758207209417,False
24,0.12313410989948312,4.573105777282059,0.001953125,1.3389018230269971,1.8017573577460007,0.0,True
25,0.11899211656327703,2.754672342210792,0.0009765625,1.3429988991111168,1.7999801573473708,0.36284187578972976,False
26,0.11671853848573063,0.7812158619887176,0.001953125,1.3407859283811718,1.8001224584831834,0.0,True
27,0.11655530466890962,0.5071090305958752,0.0009765625,1.3413854633338147,1.7996506708389992,0.42136706156244474,False
28,0.11635545354658597,1.2905507425845528,0.0078125,1.3394795471308947,1.7975357584091862,0.0,True
29,0.1159849974197463,0.796583142729608,0.0009765625,1.3405590286324431,1.7968853089507488,0.38098866347153404,False
30,0.11581619482472699,1.038803763526022,0.00390625,1.3390969177303635,1.7960606162036412,0.0,True
31,0.11556028733391639,0.650039271150228,0.0009765625,1.339941135070848,1.7954981042644456,0.3915724790405571,False
32,0.11530550450657796,0.7689278478025161,0.00390625,1.3387245833052377,1.7945734077914466,0.0,True
33,0.11514526832526306,0.4971404816901974,0.0009765625,1.339312783336899,1.7941066308684652,0.4180103912930925,False
34,0.11493246113353382,1.2590824426180633,0.0078125,1.3374340919149994,1.7920020974427613,0.0,True
35,0.11457493620249766,0.7729911518676504,0.0009765625,1.3384845258191373,1.791363006187632,0.3769126466183653,False
36,0.11440521157705619,1.0127522639648583,0.00390625,1.3370519138837202,1.7905384014989394,0.0,True
37,0.1141581837029975,0.6309550241316507,0.0009765625,1.337871981961619,1.7899855536319824,0.3881417506535575,False
38,0.11390395838319878,0.7458839972425,0.00390625,1.3366814007304697,1.7890615065934106,0.0,True
39,0.11374995891165599,0.48145164515177713,0.0009765625,1.3372478960622267,1.7886036277780513,0.41664173491012413,False
40,0.11349903070226211,1.1921570680902078,0.0078125,1.3354198671135131,1.786496687237223,0.0,True
41,0.11317157984242655,0.729505328863156,0.0009765625,1.3364081855609045,1.785881361894303,0.3744466774590378,False
42,0.11298636566570838,0.9475773672980817,0.00390625,1.335040037297911,1.785042139320238,0.0,True
43,0.11276336501897775,0.5902793419327264,0.0009765625,1.3357990514503,1.7845127959351148,0.38804832272185297,False
44,0.11249765122379539,0.6779132449081909,0.00390625,1.3346745378210874,1.7835710823094686,0.0,True
45,0.11236247581926037,0.442026694777622,0.0009765625,1.3351756622590194,1.7831384728560438,0.42515643585293467,False
46,0.11198087003478277,0.974878546412376,0.0078125,1.333497317143755,1.7809726471730674,0.0,True
47,0.11174624808469127,0.602550983453117,0.0009765625,1.33428235701336,1.7804340627309825,0.3820204156609589,False
48,0.11149441694086822,0.7126941123612918,0.00390625,1.3331302628344328,1.7795136753979228,0.0,True
49,0.11134911753810509,0.45847984351491783,0.0009765625,1.3336655713636612,1.7790688750633683,0.41384160746864807,False
50,0.11104966492226427,1.0955039739672272,0.0078125,1.331912309284755,1.7769634180694074,0.0,True
51,0.11076305553352334,0.6666797775844399,0.0009765625,1.3328108398771041,1.7763827504043372,0.37034513937504343,False
52,0.11055808584142097,0.8519913600015596,0.00390625,1.3315376882072387,1.7755241109974134,0.0,True
53,0.11036788080948902,0.5312157039350796,0.0009765625,1.3322068654463939,1.775029678208129,0.3887509195236927,False
54,0.11008815464284726,0.5761597416961208,0.00390625,1.3311819282372677,1.7740619694447035,0.0,True
55,0.10997833541485602,0.38491597618018064,0.0009765625,1.3315837288548154,1.773668093784701,0.4463196991116805,False
56,0.1094110248015013,1.506372688629849,0.015625,1.328692219820481,1.7691276734720993,0.0,True
57,0.10890019655416484,0.8896536170021132,0.0009765625,1.3299730361386912,1.768404107366509,0.34880044584362513,False
58,0.10889910641757179,1.304228237170854,0.00390625,1.3283006596556162,1.7677259690592404,0.0,True
59,0.10850519587293482,0.7748200958226155,0.0009765625,1.3293941907702453,1.7670729755792218,0.35293485868347163,False
