k,f_value,grad_norm,step_size,x,step_norm,regularization
0,104.069046875,70.17892380888051,,"[-1.5, -2.4,  2.5,  0. ,  0. ,  0. ,  0. ,  0. ,  0. ,  0. ]",,
1,18.51738324914386,25.86094872347147,1.0,"[-0.056656,  0.068883,  1.529671,  0.015521,  0.118521, -0.315764,
  0.      ,  0.21415 , -0.123763, -0.012107]",3.0488496679843773,3.162277658925196e-06
2,0.42670139729791834,6.143211960376162,1.0,"[-0.050488,  0.161867,  0.354152,  0.015521,  0.118521, -0.315764,
  0.      ,  0.21415 , -0.123763, -0.012107]",1.1792068752936726,3.1622776600486625e-06
3,-0.8360886314633016,0.0068977726053688765,1.0,"[-0.048334,  0.194355, -0.056572,  0.015521,  0.118521, -0.315764,
  0.      ,  0.21415 , -0.123763, -0.012107]",0.41201303420955,3.1622776594869293e-06
4,-0.836090224157684,3.632141315002756e-10,1.0,"[-0.048331,  0.194392, -0.057034,  0.015521,  0.118521, -0.315764,
  0.      ,  0.21415 , -0.123763, -0.012107]",0.0004632484556788229,3.1622776594869293e-06
